ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletSales
FDA15,9.3,Низкокалорийный,0.016047301,Молочные продукты,249.8092,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,3735.138
DRC01,5.92,Средняя калорийность,0.019278216,Безалкогольные напитки,48.2692,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,443.4228
FDN15,17.5,Низкокалорийный,0.016760075,Мясо,141.618,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,2097.27
FDX07,19.2,Средняя калорийность,0,Фрукты и овощи,182.095,OUT010,1998,,Локация 3,Продуктовый магазин,732.38
NCD19,8.93,Низкокалорийный,0,Товары для дома,53.8614,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,994.7052
FDP36,10.395,Средняя калорийность,0,Выпечка,51.4008,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,556.6088
FDO10,13.65,Средняя калорийность,0.012741089,Закуски,57.6588,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,343.5528
FDP10,,Низкокалорийный,0.127469857,Закуски,107.7622,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,4022.7636
FDH17,16.2,Средняя калорийность,0.016687114,Замороженные продукты,96.9726,OUT045,2002,,Локация 2,Супермаркет Тип1,1076.5986
FDU28,19.2,Средняя калорийность,0.09444959,Замороженные продукты,187.8214,OUT017,2007,,Локация 2,Супермаркет Тип1,4710.535
FDY07,11.8,Низкокалорийный,0,Фрукты и овощи,45.5402,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,1516.0266
FDA03,18.5,Средняя калорийность,0.045463773,Молочные продукты,144.1102,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2187.153
FDX32,15.1,Средняя калорийность,0.1000135,Фрукты и овощи,145.4786,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,1589.2646
FDS46,17.6,Средняя калорийность,0.047257328,Закуски,119.6782,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2145.2076
FDF32,16.35,Низкокалорийный,0.0680243,Фрукты и овощи,196.4426,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,1977.426
FDP49,9,Средняя калорийность,0.069088961,Завтрак,56.3614,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1547.3192
NCB42,11.8,Низкокалорийный,0.008596051,Здоровье и гигиена,115.3492,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,1621.8888
FDP49,9,Средняя калорийность,0.069196376,Завтрак,54.3614,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,718.3982
DRI11,,Низкокалорийный,0.034237682,Крепкие напитки,113.2834,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,2303.668
FDU02,13.35,Низкокалорийный,0.10249212,Молочные продукты,230.5352,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,2748.4224
FDN22,18.85,Средняя калорийность,0.138190277,Закуски,250.8724,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,3775.086
FDW12,,Средняя калорийность,0.035399923,Выпечка,144.5444,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,4064.0432
NCB30,14.6,Низкокалорийный,0.025698134,Товары для дома,196.5084,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,1587.2672
FDC37,,Низкокалорийный,0.057556998,Выпечка,107.6938,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,214.3876
FDR28,13.85,Средняя калорийность,0.025896485,Замороженные продукты,165.021,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,4078.025
NCD06,13,Низкокалорийный,0.099887103,Товары для дома,45.906,OUT017,2007,,Локация 2,Супермаркет Тип1,838.908
FDV10,7.645,Средняя калорийность,0.066693437,Закуски,42.3112,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,1065.28
DRJ59,11.65,Низкокалорийный,0.019356132,Крепкие напитки,39.1164,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,308.9312
FDE51,5.925,Средняя калорийность,0.161466534,Молочные продукты,45.5086,OUT010,1998,,Локация 3,Продуктовый магазин,178.4344
FDC14,,Средняя калорийность,0.072221801,Консервы,43.6454,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,125.8362
FDV38,19.25,Низкокалорийный,0.170348551,Молочные продукты,55.7956,OUT010,1998,,Локация 3,Продуктовый магазин,163.7868
NCS17,18.6,Низкокалорийный,0.080829372,Здоровье и гигиена,96.4436,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,2741.7644
FDP33,18.7,Низкокалорийный,0,Закуски,256.6672,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,3068.0064
FDO23,17.85,Низкокалорийный,0,Хлеб,93.1436,OUT045,2002,,Локация 2,Супермаркет Тип1,2174.5028
DRH01,17.5,Низкокалорийный,0.097904029,Безалкогольные напитки,174.8738,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2085.2856
NCX29,10,Низкокалорийный,0.089291137,Здоровье и гигиена,146.7102,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,3791.0652
FDV20,,Средняя калорийность,0.059511812,Фрукты и овощи,128.0678,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,2797.6916
DRZ11,8.85,Средняя калорийность,0.113123893,Безалкогольные напитки,122.5388,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,1609.9044
FDX10,,Средняя калорийность,0.123111453,Закуски,36.9874,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,388.1614
FDB34,,Низкокалорийный,0.026480954,Закуски,87.6198,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,2180.495
FDU02,13.35,Низкокалорийный,0.102511504,Молочные продукты,230.6352,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,3435.528
FDK43,9.8,Низкокалорийный,0.02681843,Мясо,126.002,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,2150.534
FDA46,13.6,Низкокалорийный,0.117818348,Закуски,192.9136,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,2527.3768
FDC02,21.35,Низкокалорийный,0.069102831,Консервы,259.9278,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,6768.5228
FDL50,12.15,Средняя калорийность,0.042277867,Консервы,126.5046,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,373.5138
FDM39,6.42,Низкокалорийный,0.089498926,Молочные продукты,178.1002,OUT010,1998,,Локация 3,Продуктовый магазин,358.2004
NCP05,19.6,Низкокалорийный,0,Здоровье и гигиена,153.3024,OUT045,2002,,Локация 2,Супермаркет Тип1,2428.8384
FDV49,10,Низкокалорийный,0.025879577,Консервы,265.2226,OUT045,2002,,Локация 2,Супермаркет Тип1,5815.0972
FDL12,15.85,Средняя калорийность,0.121632721,Выпечка,60.622,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2576.646
FDS02,,Средняя калорийность,0.255394896,Молочные продукты,196.8794,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,780.3176
NCL17,7.39,Низкокалорийный,0.067779712,Здоровье и гигиена,143.8812,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,3134.5864
FDM40,10.195,Низкокалорийный,0.159803853,Замороженные продукты,141.5154,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,850.8924
FDR13,9.895,Средняя калорийность,0.028696932,Консервы,117.0492,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,810.9444
FDA43,10.895,Низкокалорийный,0.065041581,Фрукты и овощи,196.3794,OUT017,2007,,Локация 2,Супермаркет Тип1,3121.2704
NCP18,12.15,Низкокалорийный,0.028760013,Товары для дома,151.4708,OUT017,2007,,Локация 2,Супермаркет Тип1,4815.0656
FDK21,7.905,Низкокалорийный,0.010053105,Закуски,249.0408,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,6258.52
